url,title,index,text
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,0,Shoppers have said they hope a council's plans for a deserted store will boost the appeal of their high street.
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,1,The mayor of Bedford has outlined plans to convert a former Debenhams - purchased by a council for about £1.8m - into smaller commercial spaces and housing. 
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,2,"Tom Wootton, the elected Conservative mayor, said: ""It's going make a difference to the town - it's going to bring people in."""
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,3,"Supporting the proposed redevelopment, Alex Reader, 29, from Bedford, commented: ""We need a reason to come into town."""
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,4,"Mr Wootton said the short term plan was to get businesses into the space by Christmas and the long term plan was to keep the outside, knock it down inside and ""build shops on the ground floor and flats and apartments above""."
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,5,"He said Bedford Borough Council purchased the property, which closed in May 2021, ""very cheap because it was so run down"" and the money had come from ""earmarked reserves"" and the former government's Towns Fund project. "
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,6,"""It's a massive space, a massive part of Bedford, part of Bedford's history, but also Bedford's future because you cannot have this sort of size of place in the middle of the high street shut up for years."""
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,7,"He said by the end of the year smaller shopping spaces would be created and he wanted anyone with ideas to ""come and talk to us - we're all ears""."
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,8,"Mr Wootton said the renovation was ""going to cost a lot of money"" as the building was water damaged."
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,9,"""We're really keen that we get people living in town, as that's the thing that is going to pay for this redevelopment,"" he added."
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,10,"Giving her reaction, Ms Reader, who was in the town centre, said: ""I think it's important that we start reopening these shops. "
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,11,"""It's an eyesore when you just see shut doors."""
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,12,"She said she would prefer to see ""family-orientated"" businesses, such as play areas. "
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,13,"Lauren Steels, 32, a mother from the town, said she wanted to see ""more local stores and less chains, more of a market town look"". "
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,14,"""We've got lots of cafes and restaurants. It would be nice to have something a bit unique and bit different and something to entertain, not just shops."""
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,15,"Wasem Sebi, founder of Simply Creative Agency on Bedford High Street, said: ""Ensuring the right mix of retail and residential space is crucial to meet the needs of the Bedford community without over-saturating the housing sector."""
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,16,"He said the plans could ""transform"" the area, bring ""new life to the town centre"" and could help create ""a more dynamic and diverse urban environment"". "
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,17,Kay Orton said she rarely came into town since Marks & Spencer closed its doors in May 2019. 
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,18,"She said converting the empty store was ""positive"" but it ""all depends what the shops are""."
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,19,She said more variety could coax her back to the town centre. 
https://www.bbc.com/news/articles/clylqly0n28o,Bedford Debenhams plan: 'We need a reason to come into town' - BBC News,20,"Follow Beds, Herts and Bucks news on BBC Sounds, Facebook, external, Instagram, external and X, external."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,21,"The Spectator has been sold for £100m to Sir Paul Marshall, a hedge fund tycoon and major investor in GB News."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,22,"He beat around 20 other bidders to buy the right-leaning magazine, once edited by former Prime Minister Boris Johnson."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,23,It went back on sale in April after an Abu Dhabi-backed bid to buy it along with the Daily Telegraph and the Sunday Telegraph collapsed.
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,24,This came after the government intervened in January. Legislation banning foreign states from owning UK newspapers soon followed.
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,25,That deal would have transferred the ownership to the Gulf-backed Redbird IMI consortium.
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,26,"The Telegraph newspapers remain for sale, and Sir Paul is also in the running to buy those as he continues his bid to build an empire of right-wing media outlets. "
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,27,Others thought to be among the bidders include Rupert Murdoch’s News UK and former chancellor Nadhim Zahawi.
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,28,"After the deal was announced, Spectator chairman Andrew Neil said he would resign with immediate effect, having previously stated that hedge funds should not be allowed to own news publications because of the risk of conflict of interest."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,29,"""I made it clear many months ago that I would step down when a new owner took over. That time has now come,"" he posted on X, external, formerly Twitter."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,30,"The Spectator was established in 1828, making it one of the oldest politics and current affairs magazines in the world."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,31,"Sir Paul, who is buying the magazine through his Old Queen Street (OQS) media group, said: “As a long-term Spectator reader, I am delighted it is joining the OQS stable. "
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,32,"""The plan is for OQS to make good previous underinvestment in one of the world’s great titles."""
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,33,"Sir Paul started work in the City and set up his own hedge fund with business partner Ian Wace in 1997. According to Wace, a ""considerable proportion"" of the first $50m they had under management came from the famous investor and philanthropist George Soros."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,34,"Worth an estimated £875m, Sir Paul is not that well known outside the financial and political worlds. He is probably less famous than his son Winston, a former member of the folk-rock band Mumford & Sons."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,35,"A devout Christian, Sir Paul is also known for his philanthropy, co-founding the children's educational charity ARK, and donating millions to set up the Marshall Institute for Philanthropy and Social Entrepreneurship."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,36,In 2016 he was knighted for services to education and philanthropy.
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,37,"Politically, he was a member of the Liberal Democrats for many years, and in 1987 he stood to be an MP for the SDP, a forerunner of the party."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,38,"By 2016 his allegiance had switched to the Conservative Party and he was a supporter of Brexit, donating £100,000 to the Leave campaign."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,39,"In 2017 he founded the news website UnHerd, and he has invested tens of millions of pounds in GB News since its launch in 2021."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,40,"Earlier this year he was accused of liking or reposting tweets that appeared to be anti-Muslim in sentiment. He apologised and said the tweets were not representative of his views, but he was widely criticised. Former Guardian editor Alan Rusbridger said the ""hateful ‘likes’ make him unfit to be a media mogul, external""."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,41,LISTEN: Profile - Sir Paul Marshall
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,42,"Current Spectator editor Fraser Nelson told the BBC's World at One programme he felt ""pretty confident"" about the new owner."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,43,"""What you want in a proprietor is somebody who is willing to invest, who is willing to have the confidence in what the journalists are doing, and also is willing to protect editorial independence. And there’s not the slightest suggestion that Paul Marshall isn’t willing to do that,"" he said."
https://www.bbc.com/news/articles/cn8l35xl1l2o,GB News owner Sir Paul Marshall buys Spectator magazine for £100m - BBC News,44,"""The idea that he’s going to turn it into anything other than the journalistic enterprise which it is is just for the birds."""
